hhkey	income	kwhpc	wgt
175	15.5223603852	88.2268331836	30.1920301755
176	5.18102812248	30.6029593433	190.636620955
177	37.1307010193	57.0250671595	142.680229272
178	22.7965275197	95.3801865741	135.403502073
179	6.84356241839	26.6556543073	103.762908038
180	6.21723458715	21.0555088495	180.976407967
181	32.2087210998	60.5949808686	85.6927703175
182	17.5878691712	19.5860499655	295.668575055
183	4.31752291029	29.7191937246	88.7422780947
184	20.724108289	69.7613073779	42.7247676736
185	8.20329426471	17.4403219331	202.725416101
186	5.87183208219	17.6453627076	238.858567457
187	21.1506864634	22.0567058402	184.942490873
188	10.9377214854	71.3866341842	138.183036729
189	18.1128739213	66.0032971951	39.0143754692
190	13.6001960647	17.4403219331	195.30221133
191	25.9051353613	72.9959400313	160.521380191
192	42.0008736088	58.3967500605	184.530230146
193	9.08838673962	12.2788619687	172.682557862
194	11.3982637599	44.96502733	37.0486875555
195	14.8522783073	40.3401074243	248.715491946
196	16.9592287566	33.7854428412	189.778876608
197	8.6350468708	44.604668709	127.955066169
198	5.00832687	33.818329519	170.932704594
199	86.8685735157	78.5760077204	73.6880713365
200	15.7589643463	42.2317986401	156.32125284
201	6.73533624416	21.7593309045	27.4155209717
202	12.5035463146	40.0439112226	168.664985179
203	25.0209135184	44.1134116804	54.7103435109
204	15.5430812168	38.2536991791	119.732114406
205	22.7965275197	45.6200497985	155.325707691
206	12.0787010024	18.6899174629	103.948339739
207	37.9942020306	133.604387936	62.750523688
208	23.7106911218	61.6132007424	80.971237612
209	22.4511208139	57.0250671595	134.353955449
210	37.1203353524	121.020322273	56.4722643394
211	32.7924541268	114.05017361	64.746945633
212	10.8801589522	66.0032971951	33.47357304
213	77.4275829157	134.612696621	99.5780677855
214	13.7297196411	46.2098981011	138.464803406
215	13.387201039	40.3966571867	94.4278912426
216	39.7004937239	348.04478006	27.133822795
217	18.1232395882	114.05017361	66.7116745353
218	19.6809987313	121.189961737	29.3173318772
219	10.5347522463	24.2379923474	175.340161071
220	34.2811403305	30.2974904343	156.51750767
221	90.6576291021	174.02239003	32.321332281
222	18.2980066225	45.6200497985	82.0565644935
223	8.6350468708	57.0250671595	66.8692149884
224	46.1923208134	53.5399830053	68.6947388218
225	13.3843234374	17.4403219331	65.3937188928
226	16.3858613965	56.6168814076	31.973804823
227	11.4742471439	24.5577337603	32.321332281
228	37.9942020306	88.2268331836	17.4366992854
229	4.74409478337	14.8595919509	63.9565832524
230	20.8104678422	56.3090648535	55.8393624943
231	27.8912055411	46.2098981011	130.39380928
232	12.0683458377	59.4383874492	25.3751443383
233	17.8457610825	35.0925212977	114.363249017
234	20.1144768481	72.9959400313	126.841699621
235	8.62468540478	52.6387819466	58.7211231973
236	19.5658631627	134.612696621	92.5124144249
237	14.391746535	35.8290041065	194.634214235
238	10.4476659413	21.859258077	237.597809993
239	3.71307010193	21.0555088495	164.739888593
240	17.2700937416	76.5073983582	64.3783884254
241	9.49855208299	114.05017361	65.2233002868
242	12.0890666693	114.05017361	59.9466598262
243	10.7074608504	58.3967500605	161.481304917
244	4.87880119319	38.2536991791	122.719320694
245	15.6570615439	22.0567058402	110.788773843
246	11.5133993285	23.253769126	107.202231108
247	6.47628489055	22.0567058402	120.93339033
248	24.0192456239	58.3967500605	157.271701621
249	14.5068821036	153.014796716	27.8813607507
250	135.549526067	333.591045861	49.9516833649
251	10.9377214854	11.626884563	174.207728464
252	32.8131749584	88.2268331836	26.7369861684
253	12.7757212116	24.2379923474	161.403328158
254	62.3012918271	71.3866341842	82.0013300046
255	33.6766864719	72.9959400313	112.384682951
256	16.7312681023	76.5073983582	53.569062882
257	7.5786929944	35.0925212977	103.662885434
258	83.2245742527	151.705125045	67.2767034915
259	11.3499011498	42.2317986401	106.784570234
260	40.8834925249	68.5511896134	54.1513197927
261	24.1781333387	30.6029593433	169.514281092
262	26.5660070138	61.6132007424	91.3772303683
263	46.6085333209	184.839631696	31.2265408705
264	8.42366183163	27.4204758454	181.336836411
265	5.82232368266	37.7445941536	97.2503188246
266	55.1900347483	31.8526531009	287.586392462
267	33.1508100396	24.5577337603	61.8730511068
268	38.8577135442	60.5949808686	64.8852601913
269	78.6652771505	26.3193909733	130.658793259
270	11.3550892344	17.4403219331	135.038164403
271	16.3858613965	86.4312087866	27.3491436839
272	6.80027236879	16.891208712	142.381679895
273	11.052857054	28.3084456152	123.722058428
274	11.6573109126	34.2755898953	136.096844468
275	12.0890666693	33.7517998091	28.2034173231
276	47.8899691998	92.4197962022	57.7290944231
277	26.5873054661	53.5399830053	114.049092872
278	2.01484409482	15.4526424808	186.132806667
279	4.96515234454	20.261091266	120.798443728
280	14.9674138759	35.0925212977	99.6421388793
281	19.2561534192	57.0250671595	139.57611493
282	4.10164713235	19.0034803451	150.461350791
283	18.4214389255	51.0049289645	102.170971977
284	12.0683458377	55.6417147921	30.2221933668
285	18.506632735	33.001653509	65.5780774142
286	5.61278072858	30.2974904343	138.453158268
287	22.0055546701	21.0555088495	184.056318688
288	5.56615098082	24.2379923474	174.116279879
289	39.0879741792	40.3966571867	116.805303002
290	4.02968818963	23.253769126	112.979806598
291	8.6350468708	10.9048608909	145.127991657
292	6.16196888409	19.017752849	229.113527628
293	8.6350468708	40.3966571867	94.477554332
294	19.2509758368	50.0548890283	124.264470699
295	15.5292708298	35.0925212977	95.2420919061
296	14.391746535	33.8725709273	97.307950842
297	25.4664796621	15.5423736045	32.5168678518
298	14.6795802055	24.5577337603	71.4278185101
299	84.0477993445	40.3966571867	108.328384474
300	8.72139802215	45.7007930756	102.680481024
301	33.2397531328	30.2974904343	144.873511137
302	22.0703217094	55.0256396586	68.8104481118
303	29.2002726961	34.2755898953	148.321385392
304	23.2340384796	35.0925212977	123.389715317
305	16.8383379848	34.2755898953	165.159798576
306	4.96895098863	15.8497481334	178.455121375
307	14.58632071	121.072775935	33.3121508741
308	18.5653505097	30.2974904343	149.879436384
309	23.3146218252	52.6387819466	69.1680223558
310	5.52643062744	9.82308761043	194.323905552
311	29.8523960198	50.9642528197	188.616417811
312	19.5842840135	34.2755898953	147.318190985
313	12.0683458377	21.7593309045	32.5256930398
314	59.1719526517	48.6639632951	218.681995485
315	52.8464908401	134.612696621	107.305952756
316	24.2644823896	26.3193909733	147.946800113
317	59.7015573634	61.6132007424	111.554190511
318	6.03417081843	34.880653689	66.3001330675
319	0.0	44.1134116804	71.3794341025
320	10.362056245	58.9611377093	103.856822652
321	18.81922008	30.2974904343	125.955527437
322	14.6692145386	76.5073983582	59.7559878132
323	10.5727491894	46.2098981011	143.134617998
324	16.1049381707	40.3966571867	89.1686842389
325	15.3674214958	32.5857568723	218.684164678
326	32.2375076175	108.575838358	90.6858059953
327	9.89461297788	16.3718192326	86.5327272867
328	59.4091237314	66.802184145	130.114325963
329	27.3558246219	30.6029593433	174.35454854
330	16.6944264007	25.3379770678	107.384523188
331	86.6785993023	84.4635972802	67.3553424248
332	10.2636170667	44.1134116804	65.2416242543
333	10.7886323189	48.198952743	134.340826127
334	9.28025764944	36.9679165163	171.777890458
335	13.5634383806	26.4056546545	258.081950614
336	67.5502365973	133.604387936	66.6835321179
337	8.68426751017	30.2974904343	136.650102701
338	2.76321478861	13.2006614036	201.776908176
339	9.45986619587	21.0555088495	175.212977895
340	6.90803749664	16.3718192326	119.301472628
341	2.67686468748	42.2317986401	123.221203317
342	15.3617503103	58.6059360495	55.1577794048
343	16.3837084464	26.8365408582	131.79042669
344	6.12224853071	6.99407008657	59.7041897817
345	8.62848509909	36.9679165163	163.662370804
346	16.4635776427	14.7044705601	190.846804283
347	12.0683458377	73.0646503991	26.3269973856
348	3.47819690266	26.4162436147	96.9750711411
349	13.3739577705	42.2317986401	123.669655306
350	5.18102812248	24.2379923474	160.774034023
351	7.33979010274	50.0548890283	155.975095399
352	5.18102812248	9.63627399225	37.9354990809
353	4.92888511303	17.6453627076	200.640023016
354	2.01484409482	35.0925212977	121.747979165
355	15.5430812168	61.6132007424	114.456067619
356	27.6217927214	74.5183437163	74.5755907036
357	6.28532767173	49.7206786559	274.14584794
358	4.14482270803	24.2379923474	198.255509715
359	8.62295884385	76.5073983582	74.4108005811
360	9.7576034366	30.2974904343	157.212105914
361	20.724108289	41.6123935831	217.00064303
362	6.90803749664	37.7445941536	114.099007131
363	4.31752291029	17.4403219331	179.503640487
364	11.5133993285	51.0049289645	118.675717701
365	9.31756144765	58.3967500605	192.354278841
366	11.951592931	58.3967500605	194.932991947
367	14.0751263469	42.2317986401	145.95536731
368	24.0917842878	76.5073983582	73.1768497689
369	5.91120796355	50.9642528197	177.015120118
370	20.2060139836	29.7191937246	71.8529916397
371	14.0463398292	20.5009930977	118.624342091
372	9.38341861482	51.0049289645	110.93119845
373	25.9051353613	44.1134116804	76.1236291602
374	25.9051353613	56.3090648535	113.723006168
375	7.29982189755	15.039653388	277.32793904
376	30.5680681281	49.1154576977	34.8973281882
377	7.46931577954	24.3012314251	153.521624612
378	12.0683458377	105.277544248	32.0946288403
379	23.6168540056	28.3084456152	155.240538347
380	13.2876087196	92.4197962022	71.8025978749
381	13.8816969113	51.8431659835	55.059024066
382	8.1385314263	38.2536991791	125.789298797
383	7.77154270883	24.5577337603	62.4715883773
384	7.38152582742	54.2879191792	212.429812113
385	18.3788315186	74.9161566092	63.5156321022
386	9.57108654602	24.2379923474	172.704478122
387	9.48266331151	24.2379923474	159.018358185
388	11.3615585868	30.2974904343	128.96145728
389	22.4948729601	45.7007930756	94.9818230671
390	11.5709618617	22.0567058402	138.66197158
391	5.61278072858	32.2865450762	118.919808931
392	41.6468340983	76.5073983582	57.2988293997
393	8.6350468708	30.2974904343	114.100822403
394	50.3899853178	30.6029593433	137.963948295
395	9.59180947806	121.189961737	27.9990451475
396	9.32585188073	38.2536991791	125.227706298
397	39.0330056882	33.001653509	55.1722673267
398	13.5570215392	52.5332361421	27.3289701945
399	17.2700937416	76.0334196051	87.8132472349
400	12.9525676807	42.2317986401	130.470301855
401	47.2682497319	34.2755898953	146.820190075
402	25.1423819109	21.5243601099	211.883061457
403	13.529390263	55.6417147921	31.6267682874
404	38.5698798737	45.7007930756	108.752758428
405	17.6586749729	30.2974904343	153.008667691
406	22.6030980841	64.5730901524	68.6258384207
407	10.2400154828	40.3966571867	110.541417407
408	20.4362746186	23.253769126	108.352599512
409	42.7564330553	279.192571258	75.039729379
410	14.1856514517	48.4081289092	183.040451631
411	47.4927551639	42.2317986401	179.357162915
412	75.1249135522	69.7613073779	37.3691001084
413	43.8660320124	30.6029593433	193.833325562
414	13.4459188137	11.2139642296	231.177799629
415	36.267200008	57.0250671595	146.334290974
416	47.9901391399	153.014796716	34.2424832494
417	33.6766864719	34.2755898953	158.309831442
418	21.875453473	29.4089411203	116.241084638
419	16.8383379848	22.0567058402	161.789786912
420	43.5655431965	56.3090648535	118.85005227
421	13.4568621013	43.7542907301	69.1344683742
422	7.01442158579	45.6200497985	170.428310274
423	11.5133993285	23.253769126	113.469119322
424	54.987972508	21.5010604683	173.383549515
425	15.9644713066	76.5073983582	68.4133717323
426	22.5086938493	51.0049289645	103.781574509
427	13.1252762847	40.3966571867	102.820451019
428	11.8507403482	23.253769126	110.009154673
429	18.1335947529	44.96502733	34.3274242575
430	11.0977644417	40.3966571867	116.66225047
431	48.3562666774	134.612696621	65.8518523302
432	80.8913960115	114.05017361	46.3932602141
433	22.5505976091	26.7839791458	114.704953906
434	54.2280966591	57.0250671595	90.9808161634
435	13.2979743865	76.5073983582	43.1010312227
436	10.649887815	30.8065954598	139.931063309
437	39.0632205045	52.6387819466	41.9088202393
438	18.2147662215	38.2536991791	90.5878726663
439	8.16011973925	26.3193909733	93.4401894364
440	52.6627339265	36.9679165163	105.240607576
441	36.5550336785	51.0049289645	84.4202421308
442	12.0683458377	137.102379227	22.797424494
443	22.3474956515	103.084902603	147.99429401
444	40.2968818963	76.0334196051	89.0012682519
445	45.3339973845	57.0250671595	119.249640346
446	9.48818956675	52.6387819466	54.7304713332
447	58.709677515	38.2536991791	122.721946558
448	21.6059251292	27.4204758454	144.253236275
449	64.7628489055	72.9959400313	110.243005032
450	14.9605034313	29.4089411203	87.7332268685
451	31.0861729358	97.3279167675	90.0997358727
452	101.461794168	127.410632049	57.7755722248
453	31.9393082802	121.020322273	56.6105332305
454	50.0832792022	174.02239003	57.9048560925
455	22.3924030392	29.4089411203	90.9283902078
456	9.48818956675	34.880653689	56.6105332305
457	5.53333792139	22.482513665	58.5963603832
458	17.24937291	43.5298990729	27.2533452969
459	44.9022416277	74.1205308233	60.9101580118
460	11.6521333302	38.2536991791	112.931045436
461	12.0890666693	30.2974904343	162.488723541
462	11.6573109126	42.2317986401	138.314900794
463	53.6262263406	92.4197962022	68.7451782538
464	11.4742471439	27.8208524847	66.3860559206
465	20.724108289	30.2974904343	140.98940087
466	31.6042777434	60.5949808686	68.7451782538
467	24.4659670091	38.0167147139	223.180101372
468	38.0408317784	27.8208524847	82.4692476416
469	28.4749280658	76.5073983582	68.8349257356
470	25.04163435	57.0250671595	142.283952068
471	18.4214389255	35.0925212977	91.1297711813
472	14.0544055153	52.6387819466	49.6957072434
473	18.1335947529	30.2974904343	147.852154823
474	14.8235022918	48.6639632951	190.696444998
475	9.74724092036	44.1134116804	59.4614114836
476	7.18435866044	40.0439112226	171.49155706
477	12.5173672038	38.0167147139	178.203152552
478	4.49022416277	10.1199321158	141.421184328
479	21.5876198026	46.2098981011	125.359684531
480	20.2923630345	34.880653689	65.6447287053
481	14.1545649532	21.0555088495	112.012540867
482	10.7938099013	53.5399830053	90.895486984
483	15.9748369735	29.7191937246	50.2475954603
484	11.8731940421	43.4208465349	93.7537861584
485	79.432063444	480.885053698	41.919631951
486	25.04163435	44.220853282	90.2530292754
487	16.0036234912	23.253769126	76.9705047116
488	15.2552475463	44.3747566477	67.0599669191
489	24.2593048072	42.2317986401	88.2461609564
490	17.2700937416	23.253769126	72.7397689147
491	3.71307010193	22.0567058402	95.50866282
492	4.95076118613	51.0049289645	72.914092067
493	13.8057135273	24.5577337603	44.5931615991
494	14.9674138759	51.0049289645	75.9837276664
495	14.8315574757	68.5511896134	45.9823238368
496	16.4242889296	30.2974904343	100.815729058
497	15.4728530359	32.4016386258	68.4390367036
498	7.48025381609	25.5024595709	153.218166011
499	30.6889588998	15.6338138924	101.809710106
500	9.1963251537	46.2098981011	99.9055930061
501	39.7212145555	129.146219596	23.206066094
502	13.4706724883	21.0555088495	115.93340182
503	46.0535763095	84.9404148176	81.5973807102
504	17.2597280747	55.7417009014	41.8089688875
505	21.3458382591	36.9679165163	113.479873949
506	12.7798695788	16.3718192326	71.1595807431
507	6.90803749664	17.3128516767	159.173512527
508	11.225565658	33.001653509	44.7154013
509	20.5082356618	46.2098981011	89.7291921415
510	10.5762044117	22.0567058402	86.9173136846
511	39.2196927144	36.9679165163	130.510260662
512	36.267200008	68.5511896134	53.7726929655
513	55.696051529	57.0250671595	109.958954994
514	16.3962270634	60.5949808686	50.4687160847
515	40.6422886022	40.3966571867	84.2867226294
516	24.3080034875	58.3967500605	124.869104542
517	9.49855208299	16.5008218431	127.716112499
518	26.7133843224	49.1154576977	21.6724698921
519	35.691522165	51.0049289645	77.7992617979
520	19.5592467796	29.3750918097	50.7375589422
521	12.0027176184	45.6200497985	148.113485424
522	11.3058654444	34.880653689	54.8746198774
523	12.0683458377	55.6417147921	25.8441922387
524	12.5495984416	61.6132007424	81.5964559493
525	9.74925524145	39.1784061577	175.545435174
526	26.0778439653	56.3090648535	79.9877029387
527	75.9780488966	34.880653689	49.2604302439
528	2.30267881547	35.0925212977	80.2965731046
529	8.87584120786	26.4056546545	199.968715049
530	25.4733901067	72.9959400313	110.882734125
531	18.4214389255	51.0049289645	68.9458057183
532	18.3063033569	27.4204758454	131.020020879
533	7.94424291109	24.2379923474	116.889787338
534	13.8160791942	36.2646445372	93.0402702732
535	24.2541167227	83.6679813171	48.5643478156
536	9.16178448312	30.2974904343	106.016185198
537	12.3941659491	44.3747566477	69.4657497227
538	17.0110465889	32.4016386258	69.4962440013
539	12.0683458377	88.2268331836	21.4880542867
540	14.391746535	40.3966571867	69.1431223102
541	4.3750906946	22.001099065	55.1198984552
542	25.3294680204	85.9040789541	121.241415653
543	18.4574089449	72.9959400313	88.0278260317
544	22.0193755593	26.3193909733	87.9100731341
545	12.0890666693	39.6243605107	38.8506699429
546	8.6350468708	17.4403219331	76.4748899126
547	6.04453333467	27.4204758454	94.0434875135
548	14.6795802055	38.2536991791	77.7729004017
549	15.5430812168	45.7007930756	57.1420424555
550	0.0	93.1205142577	19.3040200316
551	14.0598351503	41.7119671354	390.81734602
552	3.74185346898	16.3718192326	156.521846055
553	10.7327921458	22.8503965378	334.39927724
554	19.8536968331	66.089305484	147.843934725
555	88.5904084581	57.0250671595	212.883744167
556	41.3981421102	72.9959400313	209.307430888
557	12.931846849	74.5183437163	82.9042620546
558	31.6926957268	45.6200497985	262.865933228
559	32.0584766918	38.2536991791	186.188863165
560	28.3125956309	114.05017361	99.4238496218
561	11.8012329989	38.0167147139	283.862231594
562	18.9867405995	44.1134116804	88.4942480675
563	17.2700937416	36.9679165163	236.87775228
564	35.9793663376	97.3279167675	138.452929932
565	18.1197843659	89.06957886	130.421209606
566	36.9372820859	168.927214206	37.7676035882
567	35.1010362263	46.2098981011	213.885226054
568	18.9763749326	29.7191937246	89.5520947062
569	13.7842995508	24.2379923474	220.32590083
570	38.9578834843	85.5774714158	88.1263644512
571	9.20380901817	76.0334196051	132.193439806
572	56.2429323522	40.3966571867	162.189146652
573	24.9518300768	59.8672403368	261.603463244
574	13.8160791942	48.6024628501	84.8939480864
575	21.2928756875	29.4089411203	125.748312477
576	10.7484719236	26.3193909733	168.60664532
577	25.8844145297	97.2049257003	40.0693679073
578	105.347627485	66.802184145	175.353062058
579	36.2464686742	92.4197962022	75.5155017758
580	21.2928756875	29.4089411203	137.152898669
581	29.9279278094	63.5867943237	466.522846217
582	7.91315641259	13.9522614756	372.892281605
583	24.1781333387	52.6387819466	157.195894055
584	11.6657021667	33.2827717386	520.876985501
585	63.4675921374	68.5511896134	158.450714781
586	18.0184696865	51.0049289645	213.086620742
587	9.99198303269	17.3128516767	522.866134943
588	12.5208224261	60.5101513137	294.915294447
589	14.6692145386	24.5577337603	141.433171971
590	26.2056451816	72.9959400313	295.489787933
591	12.0683458377	49.1154576977	48.671083499
592	11.9509102883	21.0555088495	294.039739889
593	4.16485564583	62.9137765165	289.121838186
594	19.8606072777	37.0156748878	109.724545212
595	17.2856369909	44.2929721555	98.3459893289
596	13.9715011845	110.319873498	50.921495042
597	5.61278072858	38.1386056295	233.261251857
598	12.9422125159	139.798143822	107.28972948
599	21.755140322	72.9959400313	228.843291921
600	19.8554296954	57.0250671595	226.899124679
601	29.3384395793	76.5073983582	78.2036220972
602	49.4442731206	69.7613073779	39.6618565706
603	12.0683458377	68.5511896134	73.5903320931
604	19.7535373952	44.1134116804	76.3697639982
605	16.6875159561	56.3090648535	138.169907406
606	87.6674965272	71.8406923332	223.330803161
607	35.0513818463	51.0049289645	130.335241085
608	65.7990585208	40.0439112226	231.784716832
609	43.3807465655	72.9959400313	173.310710318
610	84.2275444195	100.959547023	177.796714394
611	48.9700884943	41.7119671354	379.3093236
612	96.7125228525	87.0111950149	208.884438367
613	17.2700937416	26.3193909733	208.963442638
614	96.7021676878	76.5073983582	99.4702132554
615	31.3583478328	53.4417453514	263.380716838
616	12.0683458377	49.1154576977	42.4885540367
617	22.4303999823	92.4197962022	96.9094359454
618	62.1516145377	16.8758949931	87.9779688566
619	20.7033874574	16.3718192326	144.832638985
620	26.7030186555	88.2268331836	45.6904647061
621	87.4730273742	68.5511896134	128.964882321
622	46.1923208134	22.0567058402	251.998165074
623	95.4172660845	46.2098981011	258.22819985
624	12.0476145039	24.2379923474	332.720322313
625	9.28008541344	42.2317986401	247.985387447
626	22.1488991357	46.2098981011	263.220082431
627	72.5136686822	133.604387936	117.771849473
628	48.9975622375	40.3966571867	185.032341106
629	49.2094020218	145.991899708	117.771849473
630	45.4779194708	76.0334196051	205.175690182
631	45.1900752982	61.6132007424	181.030181105
